Image_Name,Loc_Error(m),Ori_Error(deg),ESA_Score,GT_Distance(Z),Ori_Encoded_Error
img001682.jpg,1.206827879,7.416374788,0.185348701,21.56166267,4.305174102
img010348.jpg,0.583425939,6.76098612,0.188172624,8.306162834,6.372332135
img010793.jpg,0.653427243,6.003054115,0.158017509,12.26903057,0.689834859
img005538.jpg,0.121489733,4.056122353,0.079655832,13.69077015,0.992280278
img003341.jpg,0.315557092,3.90087258,0.087313797,16.40559387,1.542019366
img008656.jpg,0.677470088,8.180724182,0.184615977,16.17970276,6.524136077
img009008.jpg,0.762680531,11.69233361,0.25926096,13.8123579,7.755350246
img013128.jpg,0.179262906,2.284534139,0.055855552,11.19642925,4.079984472
img004237.jpg,0.888377905,15.21513601,0.314615507,18.10510063,7.739476886
img003078.jpg,0.676467419,4.824490033,0.167553619,8.113077164,4.239944088
img003470.jpg,0.10932947,3.450660661,0.082057267,5.003591061,7.537366466
img003093.jpg,0.23240906,8.321426079,0.219873302,3.113689899,5.000439548
img014983.jpg,0.169418186,8.975019687,0.175006183,9.225749016,2.400156222
img010726.jpg,0.159706771,5.028388255,0.100467633,12.55418491,1.898302096
img008323.jpg,0.582632005,7.662481871,0.159508647,22.59705734,0.856830903
img000056.jpg,0.088152543,2.211059447,0.04638814,11.30161285,1.894587327
img007043.jpg,0.443629116,9.219104181,0.197352499,12.16777706,7.858492079
img004605.jpg,0.291225731,5.993132412,0.133179437,10.1798687,1.468174348
img008600.jpg,0.713950038,10.06060056,0.22410934,14.70635223,4.296801144
img013260.jpg,0.375565529,5.384491267,0.136825472,8.762619972,2.326631583
img002369.jpg,0.336306602,8.052851088,0.176064968,9.468836784,7.44388679
img007932.jpg,0.485888541,3.211919082,0.103466306,10.24472713,2.734611376
img002086.jpg,0.356159061,2.704967928,0.089289438,8.457778931,2.386419858
img009122.jpg,0.058432706,6.9729969,0.130974002,6.30179882,2.893442943
img013472.jpg,0.286604673,4.166185729,0.081795747,31.52539063,5.335262251
img010821.jpg,0.920519292,15.87274491,0.314407613,24.55507088,1.468707317
img011378.jpg,0.032781914,10.5540066,0.193891603,3.382941961,7.81230634
img013831.jpg,0.092292763,12.36995241,0.22308757,12.83246803,7.794138036
img004140.jpg,0.525831342,4.164870063,0.14416685,7.354002953,1.052007721
img013915.jpg,0.150407627,4.721148417,0.09889036,9.108338356,1.574666816
img004493.jpg,0.616329253,10.43796339,0.335835993,4.000470161,6.733129194
img000764.jpg,0.072001904,4.743812265,0.092362466,7.520357132,2.791833206
img001718.jpg,0.10676945,25.84991642,0.478048015,3.968300104,3.610738097
img009357.jpg,0.46550107,6.863759123,0.150784548,15.01103783,3.317892242
img013325.jpg,0.263956726,3.777717866,0.098159287,8.185193062,1.550624337
img005569.jpg,0.153545216,10.75564574,0.204794738,8.976333618,7.455031951
img006582.jpg,0.253727376,7.50101193,0.173646376,5.937825203,7.867557447
img003752.jpg,1.548065543,12.63366857,0.300086595,19.4123764,7.823327704
img008185.jpg,0.080565326,6.549174697,0.130759068,4.893057823,3.951913303
img000883.jpg,1.080929637,5.306420924,0.142729927,21.56781578,2.201835916
img010299.jpg,0.399712563,8.638935107,0.171128608,19.63252258,7.662584324
img003748.jpg,0.134105057,7.812206448,0.149871092,9.916406631,1.346951297
img009133.jpg,0.443406314,13.76814592,0.259268986,23.34696198,1.764531241
img009702.jpg,0.946196675,5.868765339,0.231505357,7.327285767,6.658627625
img005488.jpg,0.382384717,14.09652519,0.264535177,20.65484428,7.419542288
img013833.jpg,2.195415497,12.47336403,0.31351158,22.89874649,6.314310532
img000847.jpg,0.060511999,11.43393731,0.20654993,8.653698921,7.589558503
img012701.jpg,0.328400254,4.975482464,0.121724155,9.402726173,0.527859164
img004138.jpg,0.21509932,9.502531419,0.209147058,4.967246056,7.552003561
img006397.jpg,0.178902522,6.289209159,0.135293663,7.007147789,0
img002482.jpg,0.134859577,8.900157399,0.183057496,4.864274025,4.38802515
img010346.jpg,0.384149671,8.227130195,0.195962477,7.334963799,7.333003791
img010925.jpg,0.386740297,10.34905653,0.249543875,5.604165077,5.241844046
img003941.jpg,2.586658001,11.59320878,0.281446837,32.69581223,6.99799838
img006054.jpg,0.097486205,7.202283362,0.140335948,6.661789894,6.278367515
img012985.jpg,0.120941333,13.03673084,0.243476454,7.582747936,6.126870931
img002884.jpg,0.329915345,18.20702524,0.359869327,7.824069023,7.656141748
img003644.jpg,1.048088551,5.691025888,0.16130928,16.90525627,4.324587634
img000967.jpg,0.068839766,6.682928584,0.120806245,16.51374054,2.494193626
img011084.jpg,1.197313428,14.53191389,0.322792873,17.2232132,3.489013027
img011050.jpg,0.146763474,6.654745516,0.129396848,11.07499695,7.586461866
img014841.jpg,0.730657339,9.880611417,0.219351597,15.55784702,7.865167735
img000538.jpg,0.124844991,6.884380318,0.138363604,6.848029137,5.381582033
img007834.jpg,0.587358654,9.262939482,0.228949957,8.729224205,5.164651383
img004671.jpg,0.797938406,8.719092499,0.207064159,14.53593922,1.219471152
img012484.jpg,1.361155748,13.27374694,0.310514383,17.24625015,2.06574397
img014963.jpg,0.537855566,4.746617339,0.133226465,10.67343712,5.38361871
img012896.jpg,0.240715936,24.19262054,0.44712407,9.627082825,6.433848234
img001872.jpg,0.054002974,11.05303644,0.201567013,6.23844099,3.072920677
img008301.jpg,0.292746305,17.59272144,0.32151082,20.2438755,2.587839362
img004729.jpg,0.386512309,18.3006808,0.350846853,12.25447083,2.155490095
img001058.jpg,0.165108204,5.703532391,0.127321128,5.927470207,1.04454115
img012830.jpg,0.73655808,3.562283454,0.125534698,11.60951138,5.086133663
img005963.jpg,0.259000987,10.97760298,0.207400367,16.38127518,1.472964552
img008892.jpg,0.139139444,7.103079987,0.13570086,11.86244678,2.006934121
img010349.jpg,0.242808729,4.622105125,0.093762581,18.53371429,1.292385876
img001530.jpg,0.401639551,6.645560192,0.154684581,10.36119938,1.937480915
img004416.jpg,0.434824437,12.21454767,0.239818225,16.32387733,1.719145914
img004072.jpg,0.075599186,22.1758979,0.410248855,3.256552935,7.863175027
img003600.jpg,0.652547181,10.74696969,0.228381637,15.97399902,7.485437392
img013800.jpg,0.1491272,4.368893363,0.091357748,9.864610672,1.800102759
img007654.jpg,0.158253178,9.510691787,0.19201467,6.076035976,3.111399402
img005762.jpg,0.158520222,11.13155203,0.208342366,11.25699425,0.237388134
img004174.jpg,1.135553598,6.593268691,0.173583716,19.36138916,1.419383426
img006747.jpg,0.239234462,5.13896731,0.113712255,9.955530167,0.963465844
img005698.jpg,0.885664165,6.393923643,0.156401496,19.73843575,6.417517678
img012879.jpg,0.375756085,2.013553428,0.064295931,12.88860226,1.314007374
img003136.jpg,0.96651119,2.557413217,0.119511724,12.90270329,2.011608745
img006262.jpg,0.340077072,8.248051064,0.156859123,26.34075737,3.605096787
img002415.jpg,0.108842976,2.044797915,0.046856122,9.744972229,4.582811046
img012689.jpg,0.429933429,11.90386628,0.272126064,6.665719986,2.143838432
img011350.jpg,0.140974447,6.569709234,0.145740815,4.534333229,5.694464461
img000540.jpg,0.799794376,2.272855156,0.163090855,6.479522228,2.335362273
img010219.jpg,0.294208467,7.11486804,0.175453808,5.72989893,3.400386413
